2024-02-26 09:35:52,132 - INFO - Starting GH_Data
2024-02-26 10:02:15,275 - INFO - GHComponent Sphere Params: ('Name: Base, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Plane, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,275 - INFO - GHComponent Divide Curve Params: ('Name: Points, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Point, Optional: False, Data: , Recipients: [Surface_Sphere_c2bdf]',)
2024-02-26 10:02:15,275 - INFO - GHComponent Divide Curve Params: ('Name: Tangents, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Vector, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,275 - INFO - GHComponent Divide Curve Params: ('Name: Parameters, DataMapping: 0, Kind: output, DataEmitter: True, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Sphere Params: ('Name: Base, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Plane, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Sphere Params: ('Name: Radius, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Range Params: ('Name: Steps, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Construct Domain Params: ('Name: Domain end, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Number, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,276 - INFO - GHComponent Panel Params: ('Name: Panel, DataMapping: 0, Kind: floating, DataEmitter: True, TypeName: Text, Optional: False, Data: , Recipients: [Curve_Divide Curve_4a2d0, Curve_Divide Curve_ee4cb, Surface_Sphere_98372, Sets_Range_51f2f, Maths_Construct Domain_8099d]',)
2024-02-26 10:02:15,276 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
2024-02-26 10:02:15,277 - INFO - GHComponent Divide Curve Params: ('Name: Count, DataMapping: 0, Kind: input, DataEmitter: False, TypeName: Integer, Optional: False, Data: , Recipients: None',)
